abandon|放弃，抛弃
refer|提到，涉及
reference|参考，参照
reflect|反映，反射
reform|改革，改良
refrigerator|冰箱，冷藏库
refuge|避难，庇护
refuse|拒绝，回绝
regard|看待，认为
regarding|关于
regardless|不管，不顾
region|地区，区域
register|登记，注册
regret|遗憾，后悔
regular|规则的，定期的
regulation|规则，条例
reinforce|加强，加固
reject|拒绝，排斥
relate|联系，叙述
relation|关系，联系
relationship|关系，联系
relative|相对的；亲戚
relax|放松，休息
relay|接力赛；转播
release|释放，发布
relevant|相关的，切题的
reliable|可靠的，可信赖的
relief|减轻，救济
religion|宗教，信仰
religious|宗教的，虔诚的
reluctant|不情愿的，勉强的
rely|依靠，依赖
remain|保持，仍然
remark|评论，谈论
remarkable|非凡的，值得注意的
remember|记得，记住
remind|提醒，使想起
remote|遥远的，偏僻的
remove|移动，移开
rent|租用，出租
repair|修理，修补
repay|偿还，报答
repeat|重复，重说
repeatedly|反复地，再三地
replace|代替，替换
reply|回答，答复
report|报告，报道
represent|代表，象征
representative|代表，代理人
reproduce|复制，繁殖
republic|共和国，共和政体
reputation|名誉，声望
request|请求，要求
require|需要，要求
requirement|要求，必要条件
rescue|营救，救援
research|研究，调查
resemble|像，类似于
reserve|储备；保留
resign|辞职，放弃
resist|抵抗，抵制
resistance|抵抗，阻力
resolution|决心，决定
resolve|解决，决心
resource|资源，财力
respect|尊重，尊敬
respond|回答，响应
response|回答，响应
responsibility|责任，职责
responsible|负责的，可靠的
rest|休息；剩余部分
restaurant|餐馆，饭店
restore|恢复，修复
restrain|抑制，控制
restriction|限制，约束
result|结果，后果
resume|简历；重新开始
retail|零售
retain|保留，保持
retire|退休，离开
retreat|撤退，退却
reveal|揭示，揭露
revenue|收入，税收
reverse|颠倒，反转
review|复习；回顾
revise|修订，修改
revise|复习，温习
revolution|革命，巨变
reward|奖励，报酬
rhythm|节奏，韵律
rice|大米，米饭
rich|富有的，丰富的
rid|使摆脱，使去掉
ride|骑，乘坐
ridiculous|可笑的，荒谬的
right|正确的；右边的
ring|戒指；铃声
rise|上升，升起
risk|风险，危险
rival|竞争对手，对手
river|河流，江
road|道路，公路
roast|烤，烘烤
rob|抢劫，盗窃
robot|机器人
rock|岩石；摇动
rocket|火箭
role|角色，作用
roll|滚动；卷
roof|屋顶，顶
room|房间，空间
root|根，根源
rope|绳子，绳索
rose|玫瑰，蔷薇
rot|腐烂，腐朽
rough|粗糙的；粗略的
round|圆的；围绕
route|路线，路程
routine|例行公事，常规
row|一排，一行
royal|皇家的，王室的
rub|擦，摩擦
rubber|橡胶，橡皮
rubbish|垃圾，废物
ruby|红宝石
rug|小地毯，毛毯
ruin|毁灭，废墟
rule|规则，规定
ruler|尺子，统治者
run|跑，经营
rush|冲，奔
Russia|俄罗斯
Russian|俄罗斯的，俄语的
sack|袋子，解雇
sacred|神圣的，宗教的
sacrifice|牺牲，奉献
sad|难过的，悲伤的
saddle|马鞍
sadness|悲哀，忧伤
safe|安全的，可靠的
safety|安全，平安
sail|航行，帆
sailor|水手，海员
salad|沙拉，凉拌菜
salary|薪水，薪金
sale|出售，销售
salesman|售货员，推销员
salt|盐，盐分
salty|咸的，含盐的
same|相同的，一样的
sample|样品，样本
sand|沙，沙子
sandwich|三明治
satellite|卫星
satisfaction|满意，满足
satisfactory|令人满意的
satisfy|满足，使满意
sauce|酱汁，调味汁
saucer|茶碟，浅盘
sausage|香肠，腊肠
save|救，节省
saving|储蓄，存款
say|说，讲
scale|规模；比例尺
scan|扫描；浏览
scar|伤疤，疤痕
scarce|稀有的，罕见的
scare|惊吓，害怕
scarf|围巾，头巾
scatter|分散，撒
scene|场景，场面
scenery|风景，布景
schedule|时间表，计划表
scheme|方案，计划
scholar|学者
scholarship|奖学金；学问
school|学校，学院
science|科学，学科
scientific|科学的，系统的
scientist|科学家
scissors|剪刀
scold|责骂，训斥
scope|范围，机会
score|分数，得分
scratch|抓，搔
scream|尖叫，喊叫
screen|屏幕，银幕
screw|螺丝，旋钮
script|剧本，手稿
sea|海，海洋
seal|海豹；封条
search|搜索，寻找
season|季节，时节
seat|座位，座椅
second|第二；秒
secondary|次要的，中级的
secret|秘密，机密
secretary|秘书，书记
section|部分，部门
secure|安全的，可靠的
security|安全，保障
see|看见，明白
seed|种子
seek|寻找，寻求
seem|似乎，好像
segment|部分，片段
seize|抓住， seize
select|选择，挑选
selection|选择，挑选
self|自我，自己
sell|卖，出售
semester|学期
semi-circle|半圆
senate|参议院，大学理事会
senator|参议员
send|送，寄
senior|年长的，高级的
sense|感觉，意识
sensible|明智的，理智的
sensitive|敏感的，灵敏的
sentence|句子，判决
separate|分开的；分离
serious|严重的，严肃的
servant|仆人，佣人
serve|服务，招待
service|服务，业务
session|会议，学期
set|一套，设置
setting|环境，背景
settle|定居，解决
settlement|定居点，解决
seven|七
seventeen|十七
seventh|第七
seventy|七十
several|几个，若干
severe|严重的，严厉的
sew|缝，缝制
sex|性别
shade|阴影，阴凉处
shadow|影子，阴影
shake|摇动，震动
shall|将，会
shallow|浅的，肤浅的
shame|羞愧，遗憾的事
shape|形状，形态
share|分享，份额
sharp|锋利的；急剧的
shave|刮，剃
she|她
sheep|羊，绵羊
sheet|床单，薄片
shelf|架子，搁板
shell|壳，炮弹
shelter|庇护所，避难所
shine|发光，照耀
ship|船，舰
shirt|衬衫，衬衣
shoe|鞋，鞋底
shoot|射击，射门
shop|商店，购物
shopping|购物
shore|岸，滨
short|短的，矮的
shortcoming|缺点，短处
shot|射击， shots
should|应该，应当
shoulder|肩膀，肩部
shout|呼喊，叫喊
show|展示，演出
shower|淋浴；阵雨
shrink|收缩，缩小
shrug|耸肩
shut|关闭， shut
shy|害羞的，腼腆的
sick|生病的，恶心的
side|边，侧面
sidewalk| sidewalk (美式英语，同 pavement)
sight|视力，景象
sign|标志，迹象
signal|信号，暗号
signature|签名，署名
significance|意义，重要性
significant|重要的，有意义的
silence|沉默，寂静
silent|沉默的，安静的
silk|丝绸，丝线
silly|愚蠢的，傻的
silver|银，银器
similar|类似的，相似的
simple|简单的，简易的
simplicity|简单，朴素
simplify|简化，使简易
simply|简单地，仅仅
sin|罪，罪恶
since|自从；因为
sincere|真诚的，诚挚的
sing|唱，唱歌
single|单一的，未婚的
sink|下沉，水槽
sir|先生，阁下
sister|姐妹
sit|坐，坐落
site|地点，场所
situation|情况，形势
six|六
sixteen|十六
sixth|第六
sixty|六十
size|大小，尺寸
skate|滑冰，溜冰
skeleton|骨架，骨骼
sketch|素描，草图
ski|滑雪，滑雪板
skill|技能，技巧
skilled|熟练的，有技能的
skillful|灵巧的，熟练的
skin|皮肤，皮
skip|跳过，略过
skirt|裙子
sky|天空，天
slack|松弛的；懈怠的
slam|砰地关上
slap|掌掴，拍打
slave|奴隶，苦工
sleep|睡觉，睡眠
slice|薄片，切片
slide|滑动，滑梯
slight|轻微的，纤细的
slightly|稍微，略微
slim|苗条的，修长的
sling|吊索， sling
sink|下沉，水槽
sir|先生，阁下
sister|姐妹
sit|坐，坐落
site|地点，场所
situation|情况，形势
six|六
sixteen|十六
sixth|第六
sixty|六十
size|大小，尺寸
skate|滑冰，溜冰
skeleton|骨架，骨骼
sketch|素描，草图
ski|滑雪，滑雪板
skill|技能，技巧
skilled|熟练的，有技能的
skillful|灵巧的，熟练的
skin|皮肤，皮
skip|跳过，略过
skirt|裙子
sky|天空，天
slack|松弛的；懈怠的
slam|砰地关上
slap|掌掴，拍打
slave|奴隶，苦工
sleep|睡觉，睡眠
slice|薄片，切片
slide|滑动，滑梯
slight|轻微的，纤细的
slightly|稍微，略微
slim|苗条的，修长的
sling|吊索， sling
slow|慢的，缓慢的
slum|贫民窟
sly|狡猾的，狡诈的
small|小的，少的
smart|聪明的，时髦的
smash|打碎，撞击
smell|气味；嗅觉
smile|微笑，笑容
smog|烟雾，雾霾
smoke|烟，烟雾
smooth|光滑的，平稳的
snake|蛇，阴险的人
snap|折断，猛咬
snow|雪，下雪
snowy|下雪的，多雪的
so|所以，如此
soak|浸泡，浸湿
soap|肥皂
sob|抽泣，哭泣
social|社会的，社交的
socialist|社会主义者
society|社会，社团
sock|短袜
socket|插座，孔
soft|软的，柔软的
software|软件
soil|土壤，土地
solar|太阳的，太阳能的
soldier|士兵，军人
sole|脚底；唯一的
solemn|庄严的，隆重的
solid|固体的；结实的
solution|解决方案，溶液
solve|解决，解答
some|一些，某些
somebody|某人，有人
somehow|不知怎么地
someone|某人，有人
something|某事，某物
sometimes|有时，偶尔
somewhat|稍微，有点
somewhere|在某处，某地
son|儿子
song|歌曲，歌声
soon|很快，不久
sophisticated|复杂的，老练的
sore|疼痛的，酸痛的
sorrow|悲伤，悲痛
sorry|对不起的，抱歉的
sort|种类，类别
soul|灵魂，心灵
sound|声音，听起来
soup|汤，羹
source|来源，出处
south|南，南方
southeast|东南
southern|南方的，南部的
southwest|西南
sow|播种，散布
space|空间，太空
spade|铲子，铁锹
span|跨度，范围
Spanish|西班牙的，西班牙语的
spare|多余的；备用的
speak|说，讲
speaker|演讲者，扬声器
special|特别的，专门的
specialist|专家
specialize|专门从事
species|物种，种类
specific|具体的，明确的
specify|指定，详细说明
speech|演讲，言语
speed|速度，迅速
spell|拼写，拼出
spelling|拼写，拼法
spend|花费，度过
sphere|球体，范围
spider|蜘蛛
spill|溢出，洒落
spin|旋转， spinning
spirit|精神，灵魂
spiritual|精神的，心灵的
spit|吐痰，吐口水
splash|溅起，泼洒
split|分裂，分开
spoil|宠坏；变质
spoke|轮辐， spoke
spoken|口头的，口语的
sponsor|赞助者，主办者
spoon|勺子，匙
sport|运动，游戏
spot|地点，斑点
spray|喷雾，喷洒
spread|传播，展开
spring|春天，弹簧
square|平方；广场
squeeze|挤压，榨取
stability|稳定性，稳固
stable|稳定的，牢固的
stadium|体育场
staff|全体职员， staff
stage|阶段，舞台
stain|污点，染色
stair|楼梯，阶梯
stake|桩，赌注
stale|不新鲜的，陈腐的
stamp|邮票；跺脚
stand|站立，忍受
standard|标准，规格
star|星星，明星
stare|凝视，注视
start|开始，出发
starve|挨饿，饿死
state|状态；国家
statement|声明，陈述
statesman|政治家
static|静态的，静止的
station|车站，局
statistic|统计数值
status|地位，状态
stay|停留，逗留
steady|稳定的，稳固的
steak|牛排，肉排
steal|偷窃，偷盗
steam|蒸汽，水汽
steel|钢铁，钢
steep|陡峭的，险峻的
steer|驾驶，引导
stem|茎，干
step|步，台阶
stereotype|刻板印象
stick|棍棒；粘住
sticky|粘的，粘性的
stiff|僵硬的；艰难的
still|仍然，依旧
stimulate|刺激，激励
sting|刺，叮
stir|搅拌，搅动
stock|库存，股票
stocking|长筒袜
stomach|胃，肚子
stone|石头，宝石
stool|凳子， stool
stop|停止，车站
storage|存储，仓库
store|商店；存储
storm|暴风雨，风暴
story|故事，小说
stove|炉子，火炉
straight|直的，直接的
strain|拉紧； strain
strange|奇怪的，陌生的
stranger|陌生人
strap|带子，皮带
strategy|策略，战略
straw|稻草，吸管
strawberry|草莓
stream|小溪，流
street|街道，马路
strength|力量，优点
strengthen|加强，增强
stress|压力，强调
stretch|伸展，延伸
strict|严格的，严厉的
strike|打，袭击
striking|显著的，惊人的
string|线，字符串
strip| strips；剥去
stripe|条纹，斑纹
stroke|一击；中风
strong|强壮的，强烈的
structure|结构，构造
struggle|斗争，挣扎
student|学生
studio|工作室，画室
study|学习，研究
stuff|东西，物品
stupid|愚蠢的，笨的
style|风格，样式
subject|主题；学科
subject|使服从
substance|物质，实质
substantial|大量的，坚固的
substitute|代替者，代替品
subtract|减去，扣除
suburb|郊区，城郊
subway|地铁
succeed|成功，继承
success|成功，胜利
successful|成功的，有成就的
succession|连续，继任
such|这样的，如此的
suck|吸，吮吸
sudden|突然的，意外的
suffer|遭受，忍受
sufficient|足够的，充足的
sugar|糖
suggest|建议，暗示
suggestion|建议，提议
suicide|自杀
suit|一套衣服；诉讼
suitable|合适的，适宜的
suite|套房，套件
sum|总数，金额
summary|总结，摘要
summer|夏天，夏季
sun|太阳，阳光
Sunday|星期日
sunlight|阳光，日光
sunny|阳光充足的，晴朗的
sunrise|日出，黎明
sunset|日落，傍晚
sunshine|阳光，日照
super|超级的，极好的
superior|上级的；优越的
supermarket|超市，超级市场
supper|晚餐，晚饭
supplement|增补，补充
supply|供应，补给
support|支持，拥护
supporter|支持者，拥护者
suppose|假设，认为
suppress|镇压，抑制
supreme|最高的，至上的
sure|确信的，有把握的
surface|表面，外表
surgeon|外科医生
surgery|外科，手术
surprise|惊奇，惊喜
surprised|感到惊讶的
surprising|令人惊讶的
surround|包围，环绕
surroundings|环境，周围事物
survey|调查，测量
survival|幸存，生存
survive|幸存，存活
suspect|怀疑，嫌疑犯
suspend|暂停，悬架
suspicion|怀疑，猜疑
suspicious|可疑的，怀疑的
sustain|维持，支撑
swallow|燕子；吞下
swear|发誓，咒骂
sweat|汗水，出汗
sweater|毛衣，运动衫
sweep|打扫，清扫
sweet|甜的，可爱的
swell|肿胀，膨胀
swift|迅速的，敏捷的
swim|游泳，游动
swing|摇摆，秋千
switch|开关，转换
sword|剑，刀
symbol|符号，象征
sympathetic|同情的，有同情心的
sympathy|同情，同情心
symphony|交响乐，交响曲
symptom|症状，征兆
system|系统，体系
table|桌子，表格
tablet|药片，牌匾
tag|标签，标记
tail|尾巴，尾部
tailor|裁缝
take|拿，取
tale|故事，传说
talent|天赋，才能
talk|谈话，交谈
tall|高的，高大的
tank|坦克；水槽
tap|水龙头；轻拍
tape|磁带，胶带
target|目标，靶子
task|任务，工作
taste|味道，品味
tax|税，税收
taxi|出租车，计程车
tea|茶，茶叶
teach|教，教导
teacher|教师，老师
teaching|教学，教导
team|队，组
tear|眼泪；撕裂
technical|技术的，工艺的
technician|技术员，技师
technique|技术，方法
technology|技术，工艺
tedious|冗长乏味的，沉闷的
teenager|青少年，十几岁的孩子
telegram|电报
telephone|电话，电话机
telescope|望远镜
television|电视，电视机
tell|告诉，讲述
temper|脾气，情绪
temperature|温度，气温
temple|寺庙，神殿
temporary|暂时的，临时的
tempt|引诱，诱惑
ten|十
tend|趋向，倾向
tendency|趋势，倾向
tender|温柔的；嫩的
tense|紧张的；时态
tent|帐篷
term|学期；术语
terrible|糟糕的，可怕的
territory|领土，版图
terror|恐怖，恐惧
test|测试，考试
text|文本，课文
textbook|教科书，课本
than|比
thank|感谢，谢谢
that|那，那个
the|这，那（定冠词）
theatre|剧院，戏院
their|他们的，她们的
them|他们，她们
theme|主题，题目
themselves|他们自己
then|然后，当时
theoretical|理论的，假设的
theory|理论，学说
there|那里，那儿
therefore|因此，所以
thermometer|温度计，体温计
these|这些
they|他们，她们
thick|厚的，浓的
thin|薄的，瘦的
thing|东西，事物
think|想，认为
third|第三
thirst|渴，口渴
thirsty|渴的，口渴的
thirteen|十三
thirty|三十
this|这，这个
those|那些
though|虽然，尽管
thought|思想，想法
thousand|一千
thread|线，线索
threat|威胁，恐吓
threaten|威胁，恐吓
three|三
thrill|激动，兴奋
throat|喉咙，咽喉
through|通过，穿过
throughout|遍及，贯穿
throw|扔，投
thrust|推力；刺
thumb|拇指
thus|因此，从而
ticket|票，券
tide|潮汐，潮流
tie|领带；系
tiger|老虎
tight|紧的，牢固的
till|直到，除非
time|时间，次数
tin|锡，罐头
tiny|微小的，极小的
tip|小费；尖端
tire|轮胎；使疲劳
tired|疲劳的，累的
tissue|组织，薄纸
title|标题，头衔
to|到，向
toast|烤面包；干杯
today|今天，现在
toe|脚趾，足尖
together|一起，共同
toilet|厕所，洗手间
token|代币；象征
tolerate|容忍，忍受
tomato|番茄，西红柿
tomorrow|明天，未来
ton|吨
tone|语气，音调
tongue|舌头，语言
tonight|今晚，今夜
too|也，太
tool|工具，器具
tooth|牙齿
toothache|牙痛
toothbrush|牙刷
toothpaste|牙膏
top|顶部，顶端
topic|话题，主题
torch|手电筒，火炬
tortoise|乌龟，迟缓的人
total|总计的；总数
touch|触摸，接触
tough|艰难的；强硬的
tour|旅游，旅行
tourist|游客，旅行者
tournament|锦标赛，联赛
toward|朝向，关于
towel|毛巾，手巾
tower|塔，高楼
town|城镇，市镇
toy|玩具，玩物
trace|痕迹，踪迹
track|轨道；足迹
tractor|拖拉机
trade|贸易，交易
tradition|传统，惯例
traditional|传统的，惯例的
traffic|交通，流量
train|火车；训练
trainer|训练员，教练
training|训练，培养
transfer|转移，调动
transform|转换，变形
transformation|转换，变形
translate|翻译
translation|翻译，译文
transmission|传输，传播
transmit|传输，发射
transport|运输，运送
transportation|运输，交通
trap|陷阱，圈套
travel|旅行，游历
tray|托盘，碟子
treasure|财富，珍宝
treat|对待，治疗
treatment|治疗，待遇
treaty|条约，协议
tree|树，树木
tremble|颤抖，发抖
tremendous|巨大的，惊人的
trend|趋势，倾向
trial|审判，试验
triangle|三角形，三角形物体
trick|诡计，把戏
trip|旅行，旅程
triple|三倍的； triple
triumph|胜利，成功
troop|部队，一群
trouble|麻烦，困难
trousers|裤子
truck|卡车，货车
true|真实的，正确的
trust|信任，信赖
truth|真相，事实
try|尝试，努力
tube|管子，地铁（英）
Tuesday|星期二
tune|曲调， tune
turn|转动，轮流
twelve|十二
twenty|二十
twice|两次，两倍
twin|双胞胎之一
twist|扭曲，拧
two|二
ugly|丑陋的，难看的
ultimate|最终的，极致的
umbrella|雨伞
unable|不能的，不会的
uncle|叔叔，舅舅
uncomfortable|不舒服的
under|在……下面
understand|理解，明白
understanding|理解，谅解
unfair|不公平的
unfortunate|不幸的
unhappy|不快乐的
uniform|制服，统一
union|联盟，工会
unique|独特的，唯一的
unit|单位，单元
unite|联合，团结
universe|宇宙
university|大学
unless|除非
until|直到……为止
up|向上，在上面
upon|在……之上（较正式）
upper|上面的，上部的
upset|心烦的；打翻
upstairs|在楼上
upward|向上的
urban|城市的，都市的
urge|催促，强烈欲望
urgent|紧急的，急迫的
us|我们（宾格）
use|使用，用途
used|用过的，习惯的
useful|有用的，有益的
user|用户，使用者
usual|通常的，平常的
vacation|假期（美式）/ 假期（英式常用 holiday）
vague|模糊的，不明确的
valid|有效的，合理的
valley|山谷
valuable|有价值的，贵重的
value|价值，重视
van|厢式货车，面包车
variety|多样性，种类
various|各种各样的
vary|变化，不同
vast|巨大的，广阔的
vegetable|蔬菜
vehicle|车辆，交通工具
version|版本，说法
very|非常，很
vessel|船，容器
veteran|老兵，老手
via|经由，通过
victim|受害者
victory|胜利
video|视频，录像
view|看法，景色
village|村庄
violate|违反，侵犯
violence|暴力
violent|暴力的，猛烈的
virtue|美德，优点
virus|病毒
visa|签证
visible|可见的
vision|视力，视野
visit|访问，参观
visitor|访客，游客
visual|视觉的
vital|至关重要的
voice|声音，嗓音
volume|体积，音量
volunteer|志愿者，自愿者
vote|投票，选举
wage|工资，报酬
wait|等待
waiter|男服务员
waitress|女服务员
wake|醒来，唤醒
walk|走路，散步
wall|墙
wallet|钱包
want|想要，需要
war|战争
warm|温暖的，热情的
warn|警告，提醒
warning|警告，告诫
wash|洗，洗涤
washing|洗涤，洗衣服
waste|浪费，废物
watch|手表；观看
water|水
wave|波浪，挥手
way|方法，道路
we|我们
weak|虚弱的，弱的
wealth|财富，财产
wealthy|富有的
weapon|武器
wear|穿，戴
weather|天气
wedding|婚礼
Wednesday|星期三
week|周，星期
weekend|周末
weekly|每周的
weigh|称重，重量为
weight|重量，分量
welcome|欢迎
well|好地；井
west|西，西方
western|西方的
wet|湿的，潮湿的
whale|鲸鱼
what|什么
whatever|无论什么
wheel|轮子
when|什么时候，当……时
whenever|无论何时
where|哪里
wherever|无论哪里
whether|是否
which|哪一个
while|当……时候；而
whisper|低语，耳语
white|白色的，白人
who|谁
whole|整个的，完整的
whom|谁（宾格）
whose|谁的
why|为什么
wide|宽的，广泛的
widely|广泛地
wife|妻子
wild|野生的，狂野的
will|将，会；意志
willing|愿意的
win|赢，获胜
wind|风； winding
window|窗户
wine|葡萄酒
wing|翅膀，机翼
winner|赢家，获胜者
winter|冬天，冬季
wipe|擦，拭
wire|电线，金属丝
wise|聪明的，明智的
wish|希望，愿望
with|和……一起，带有
within|在……之内
without|没有
wolf|狼
woman|女人（复数 women）
wonder|奇迹；想知道
wonderful|极好的，精彩的
wood|木头，树林
wool|羊毛
word|词，话语
work|工作，劳动
worker|工人，工作者
world|世界
worried|担心的，焦虑的
worry|担忧，烦恼
worse|更糟的（bad 的比较级）
worst|最糟的（bad 的最高级）
worth|值得的，价值
would|将，愿意（will 的过去式）
wound|伤口，伤害
wrap|包裹，包起来
wrist|手腕
write|写，书写
writer|作家，作者
writing|写作，笔迹
wrong|错误的，不公正的
x-ray|X光，X射线
yard|院子，码（长度单位）
year|年
yellow|黄色的
yes|是，是的
yesterday|昨天
yet|还，已经（用于否定或疑问）
you|你，你们
young|年轻的
your|你的，你们的
yours|你的（东西），你们的（东西）
yourself|你自己
youth|青年，青春
zebra|斑马
zero|零
zip|拉链；压缩
zone|区域，地带
zoo|动物园
